Economy,ADB Country Code,Sector,Country 2018 GDP,Scenario,as % of total GDP, in $ Mn ,Employment (in 000),as % of sector GDP,as % of sector employment
Brazil,BRA,Transport services,1868626.088,"Longer containment, larger demand shock",-0.29," 5,328.09 ",343,-6.37,-6.16
Brazil,BRA,_All,1868626.088,"Longer containment, larger demand shock",-6.18," 115,512.92 ",7088,-6.18,-6.18
Canada,CAN,"Agriculture, Mining and Quarrying",1713341.705,"Longer containment, larger demand shock",-0.62," 10,544.17 ",37,-5.84,-5.63
Canada,CAN,"Business, Trade, Personal, and Public Services",1713341.705,"Longer containment, larger demand shock",-3.47," 59,429.06 ",630,-5.86,-5.87
Canada,CAN,Hotel and restaurants and Other Personal Services,1713341.705,"Longer containment, larger demand shock",-0.54," 9,292.01 ",381,-11.11,-10.76
Canada,CAN,"Light/Heavy Manufacturing, Utilities, and Construction",1713341.705,"Longer containment, larger demand shock",-1.25," 21,362.28 ",250,-5.78,-5.72
Canada,CAN,Transport services,1713341.705,"Longer containment, larger demand shock",-0.25," 4,271.39 ",63,-6.60,-6.60
Canada,CAN,_All,1713341.705,"Longer containment, larger demand shock",-6.12," 104,898.91 ",1360,-6.12,-6.72
Switzerland,SWI,"Agriculture, Mining and Quarrying",705140.3542,"Longer containment, larger demand shock",-0.05, 318.11 ,153,-5.58,-5.65
Switzerland,SWI,"Business, Trade, Personal, and Public Services",705140.3542,"Longer containment, larger demand shock",-3.40," 23,985.41 ",73,-5.24,-5.25
Switzerland,SWI,Hotel and restaurants and Other Personal Services,705140.3542,"Longer containment, larger demand shock",-0.55," 3,893.67 ",18,-13.25,-13.92
Switzerland,SWI,"Light/Heavy Manufacturing, Utilities, and Construction",705140.3542,"Longer containment, larger demand shock",-1.36," 9,587.52 ",41,-5.15,-5.19
Switzerland,SWI,Transport services,705140.3542,"Longer containment, larger demand shock",-0.45," 3,146.81 ",17,-12.03,-11.81
Switzerland,SWI,_All,705140.3542,"Longer containment, larger demand shock",-5.80," 40,931.52 ",302,-5.80,-5.85
People's Republic of China,PRC,"Agriculture, Mining and Quarrying",13608151.86,"Longer containment, larger demand shock",-0.68," 91,984.24 ",12429,-4.93,-4.82
People's Republic of China,PRC,"Business, Trade, Personal, and Public Services",13608151.86,"Longer containment, larger demand shock",-2.03," 275,571.96 ",10153,-4.94,-4.80
People's Republic of China,PRC,Hotel and restaurants and Other Personal Services,13608151.86,"Longer containment, larger demand shock",-0.30," 41,173.05 ",12955,-6.01,-6.25
People's Republic of China,PRC,"Light/Heavy Manufacturing, Utilities, and Construction",13608151.86,"Longer containment, larger demand shock",-1.78," 242,388.26 ",14634,-4.96,-5.07
People's Republic of China,PRC,Transport services,13608151.86,"Longer containment, larger demand shock",-0.30," 40,483.71 ",2613,-6.76,-6.53
People's Republic of China,PRC,_All,13608151.86,"Longer containment, larger demand shock",-5.08," 691,601.22 ",52784,-5.08,-5.25
Cyprus,CYP,"Agriculture, Mining and Quarrying",24961.98866,"Longer containment, larger demand shock",-0.13, 32.63 ,1,-5.26,-5.20
Cyprus,CYP,"Business, Trade, Personal, and Public Services",24961.98866,"Longer containment, larger demand shock",-5.23," 1,305.25 ",16,-7.99,-8.70
Cyprus,CYP,Hotel and restaurants and Other Personal Services,24961.98866,"Longer containment, larger demand shock",-2.26, 564.95 ,11,-17.73,-14.30
Cyprus,CYP,"Light/Heavy Manufacturing, Utilities, and Construction",24961.98866,"Longer containment, larger demand shock",-0.87, 217.87 ,5,-6.76,-6.41
Cyprus,CYP,Transport services,24961.98866,"Longer containment, larger demand shock",-2.44, 609.17 ,13,-38.01,-61.52
Cyprus,CYP,_All,24961.98866,"Longer containment, larger demand shock",-10.94," 2,729.86 ",45,-10.94,-12.37
Czech Republic,CZE,"Agriculture, Mining and Quarrying",245225.8829,"Longer containment, larger demand shock",-0.19, 471.01 ,13,-5.92,-5.71
Czech Republic,CZE,"Business, Trade, Personal, and Public Services",245225.8829,"Longer containment, larger demand shock",-2.86," 7,005.44 ",176,-5.64,-5.63
Czech Republic,CZE,Hotel and restaurants and Other Personal Services,245225.8829,"Longer containment, larger demand shock",-0.52," 1,279.08 ",49,-10.15,-9.63
Czech Republic,CZE,"Light/Heavy Manufacturing, Utilities, and Construction",245225.8829,"Longer containment, larger demand shock",-1.87," 4,589.06 ",122,-5.24,-5.22
Czech Republic,CZE,Transport services,245225.8829,"Longer containment, larger demand shock",-0.78," 1,913.36 ",58,-14.75,-15.25
Czech Republic,CZE,_All,245225.8829,"Longer containment, larger demand shock",-6.22," 15,257.95 ",418,-6.22,-6.35
Germany,GER,"Agriculture, Mining and Quarrying",3947620.163,"Longer containment, larger demand shock",-0.05," 1,834.30 ",59,-5.11,-5.08
Germany,GER,"Business, Trade, Personal, and Public Services",3947620.163,"Longer containment, larger demand shock",-3.16," 124,902.05 ",1622,-5.47,-5.52
Germany,GER,Hotel and restaurants and Other Personal Services,3947620.163,"Longer containment, larger demand shock",-0.54," 21,415.50 ",478,-8.83,-8.71
Germany,GER,"Light/Heavy Manufacturing, Utilities, and Construction",3947620.163,"Longer containment, larger demand shock",-1.62," 63,844.58 ",639,-5.19,-5.23
Germany,GER,Transport services,3947620.163,"Longer containment, larger demand shock",-0.30," 11,651.52 ",166,-7.37,-7.05
Germany,GER,_All,3947620.163,"Longer containment, larger demand shock",-5.67," 223,647.94 ",2964,-5.67,-5.86
Denmark,DEN,"Agriculture, Mining and Quarrying",355675.3291,"Longer containment, larger demand shock",-0.20, 719.05 ,4,-5.87,-4.67
Denmark,DEN,"Business, Trade, Personal, and Public Services",355675.3291,"Longer containment, larger demand shock",-3.41," 12,119.82 ",117,-5.41,-5.47
Denmark,DEN,Hotel and restaurants and Other Personal Services,355675.3291,"Longer containment, larger demand shock",-0.40," 1,408.66 ",19,-5.80,-5.73
Denmark,DEN,"Light/Heavy Manufacturing, Utilities, and Construction",355675.3291,"Longer containment, larger demand shock",-1.07," 3,818.74 ",31,-5.11,-5.16
Denmark,DEN,Transport services,355675.3291,"Longer containment, larger demand shock",-0.32," 1,135.41 ",9,-5.63,-5.72
Denmark,DEN,_All,355675.3291,"Longer containment, larger demand shock",-5.40," 19,201.68 ",180,-5.40,-5.43
Spain,SPA,"Agriculture, Mining and Quarrying",1419041.95,"Longer containment, larger demand shock",-0.16," 2,313.09 ",55,-5.87,-5.90
Spain,SPA,"Business, Trade, Personal, and Public Services",1419041.95,"Longer containment, larger demand shock",-3.37," 47,822.22 ",626,-5.87,-5.82
Spain,SPA,Hotel and restaurants and Other Personal Services,1419041.95,"Longer containment, larger demand shock",-1.39," 19,766.92 ",463,-12.11,-12.42
Spain,SPA,"Light/Heavy Manufacturing, Utilities, and Construction",1419041.95,"Longer containment, larger demand shock",-1.37," 19,379.95 ",198,-5.72,-5.63
Spain,SPA,Transport services,1419041.95,"Longer containment, larger demand shock",-0.88," 12,434.32 ",170,-19.55,-19.03
Spain,SPA,_All,1419041.95,"Longer containment, larger demand shock",-7.17," 101,716.51 ",1511,-7.17,-7.63
Estonia,EST,"Agriculture, Mining and Quarrying",30732.14453,"Longer containment, larger demand shock",-0.19, 58.82 ,1,-5.26,-4.96
Estonia,EST,"Business, Trade, Personal, and Public Services",30732.14453,"Longer containment, larger demand shock",-3.13, 961.70 ,25,-5.84,-5.73
Estonia,EST,Hotel and restaurants and Other Personal Services,30732.14453,"Longer containment, larger demand shock",-0.75, 230.96 ,12,-9.38,-9.28
Estonia,EST,"Light/Heavy Manufacturing, Utilities, and Construction",30732.14453,"Longer containment, larger demand shock",-1.41, 433.69 ,14,-5.14,-5.07
Estonia,EST,Transport services,30732.14453,"Longer containment, larger demand shock",-0.84, 258.15 ,8,-11.45,-11.41
Estonia,EST,_All,30732.14453,"Longer containment, larger demand shock",-6.32," 1,943.31 ",60,-6.32,-6.44
Finland,FIN,"Agriculture, Mining and Quarrying",276743.1205,"Longer containment, larger demand shock",-0.18, 499.14 ,7,-5.50,-5.46
Finland,FIN,"Business, Trade, Personal, and Public Services",276743.1205,"Longer containment, larger demand shock",-3.48," 9,637.09 ",97,-5.95,-5.96
Finland,FIN,Hotel and restaurants and Other Personal Services,276743.1205,"Longer containment, larger demand shock",-0.33, 900.19 ,16,-6.95,-6.91
Finland,FIN,"Light/Heavy Manufacturing, Utilities, and Construction",276743.1205,"Longer containment, larger demand shock",-1.59," 4,387.12 ",38,-5.54,-5.49
Finland,FIN,Transport services,276743.1205,"Longer containment, larger demand shock",-0.64," 1,759.03 ",21,-13.05,-12.18
Finland,FIN,_All,276743.1205,"Longer containment, larger demand shock",-6.21," 17,182.56 ",178,-6.21,-6.27
France,FRA,"Agriculture, Mining and Quarrying",2777535.239,"Longer containment, larger demand shock",-0.08," 2,193.31 ",40,-4.33,-4.31
France,FRA,"Business, Trade, Personal, and Public Services",2777535.239,"Longer containment, larger demand shock",-3.87," 107,576.45 ",1090,-5.68,-5.73
France,FRA,Hotel and restaurants and Other Personal Services,2777535.239,"Longer containment, larger demand shock",-0.45," 12,395.30 ",192,-7.42,-7.10
France,FRA,"Light/Heavy Manufacturing, Utilities, and Construction",2777535.239,"Longer containment, larger demand shock",-1.05," 29,136.04 ",281,-5.29,-5.36
France,FRA,Transport services,2777535.239,"Longer containment, larger demand shock",-0.56," 15,655.76 ",198,-13.44,-13.64
France,FRA,_All,2777535.239,"Longer containment, larger demand shock",-6.01," 166,956.86 ",1801,-6.01,-6.14
United Kingdom,UKG,"Agriculture, Mining and Quarrying",2855296.732,"Longer containment, larger demand shock",-0.10," 2,943.80 ",35,-5.35,-5.47
United Kingdom,UKG,"Business, Trade, Personal, and Public Services",2855296.732,"Longer containment, larger demand shock",-3.56," 101,555.81 ",1371,-5.54,-5.63
United Kingdom,UKG,Hotel and restaurants and Other Personal Services,2855296.732,"Longer containment, larger demand shock",-1.06," 30,194.64 ",352,-9.74,-9.07
United Kingdom,UKG,"Light/Heavy Manufacturing, Utilities, and Construction",2855296.732,"Longer containment, larger demand shock",-1.04," 29,687.90 ",338,-5.40,-5.45
United Kingdom,UKG,Transport services,2855296.732,"Longer containment, larger demand shock",-0.28," 7,865.32 ",177,-7.27,-6.99
United Kingdom,UKG,_All,2855296.732,"Longer containment, larger demand shock",-6.03," 172,247.48 ",2273,-6.03,-6.04
Greece,GRC,"Agriculture, Mining and Quarrying",218031.8446,"Longer containment, larger demand shock",-0.24, 532.47 ,31,-5.32,-5.26
Greece,GRC,"Business, Trade, Personal, and Public Services",218031.8446,"Longer containment, larger demand shock",-3.81," 8,299.89 ",161,-6.38,-5.86
Greece,GRC,Hotel and restaurants and Other Personal Services,218031.8446,"Longer containment, larger demand shock",-1.05," 2,287.18 ",56,-9.04,-9.03
Greece,GRC,"Light/Heavy Manufacturing, Utilities, and Construction",218031.8446,"Longer containment, larger demand shock",-1.02," 2,225.12 ",56,-5.88,-5.97
Greece,GRC,Transport services,218031.8446,"Longer containment, larger demand shock",-2.28," 4,967.33 ",51,-33.54,-16.89
Greece,GRC,_All,218031.8446,"Longer containment, larger demand shock",-8.40," 18,312.00 ",355,-8.40,-6.84
Croatia,HRV,"Agriculture, Mining and Quarrying",60971.69932,"Longer containment, larger demand shock",-0.38, 229.81 ,49,-5.91,-5.28
Croatia,HRV,"Business, Trade, Personal, and Public Services",60971.69932,"Longer containment, larger demand shock",-3.51," 2,138.43 ",31,-6.21,-6.21
Croatia,HRV,Hotel and restaurants and Other Personal Services,60971.69932,"Longer containment, larger demand shock",-1.17, 713.89 ,7,-11.65,-13.53
Croatia,HRV,"Light/Heavy Manufacturing, Utilities, and Construction",60971.69932,"Longer containment, larger demand shock",-1.23, 752.51 ,14,-5.44,-5.33
Croatia,HRV,Transport services,60971.69932,"Longer containment, larger demand shock",-1.18, 719.45 ,15,-26.64,-24.58
Croatia,HRV,_All,60971.69932,"Longer containment, larger demand shock",-7.47," 4,554.07 ",116,-7.47,-6.42
Hungary,HUN,"Agriculture, Mining and Quarrying",157882.9128,"Longer containment, larger demand shock",-0.24, 379.90 ,26,-5.34,-5.34
Hungary,HUN,"Business, Trade, Personal, and Public Services",157882.9128,"Longer containment, larger demand shock",-3.16," 4,983.06 ",158,-5.98,-5.94
Hungary,HUN,Hotel and restaurants and Other Personal Services,157882.9128,"Longer containment, larger demand shock",-0.56, 879.04 ,44,-9.54,-9.42
Hungary,HUN,"Light/Heavy Manufacturing, Utilities, and Construction",157882.9128,"Longer containment, larger demand shock",-1.68," 2,660.14 ",97,-5.43,-5.40
Hungary,HUN,Transport services,157882.9128,"Longer containment, larger demand shock",-1.40," 2,209.95 ",71,-24.08,-23.78
Hungary,HUN,_All,157882.9128,"Longer containment, larger demand shock",-7.04," 11,112.08 ",397,-7.04,-6.94
Indonesia,INO,"Agriculture, Mining and Quarrying",1042173.301,"Longer containment, larger demand shock",-0.25," 2,643.62 ",328,-1.17,-0.85
Indonesia,INO,"Business, Trade, Personal, and Public Services",1042173.301,"Longer containment, larger demand shock",-0.14," 1,433.68 ",158,-0.40,-0.40
Indonesia,INO,Hotel and restaurants and Other Personal Services,1042173.301,"Longer containment, larger demand shock",-0.20," 2,049.18 ",631,-3.81,-3.87
Indonesia,INO,"Light/Heavy Manufacturing, Utilities, and Construction",1042173.301,"Longer containment, larger demand shock",-0.29," 3,028.34 ",230,-0.87,-0.92
Indonesia,INO,Transport services,1042173.301,"Longer containment, larger demand shock",-0.07, 737.40 ,58,-1.23,-1.01
Indonesia,INO,_All,1042173.301,"Longer containment, larger demand shock",-0.95," 9,892.22 ",1405,-0.95,-1.12
India,IND,"Agriculture, Mining and Quarrying",2718732.231,"Longer containment, larger demand shock",-0.06," 1,539.79 ",598,-0.36,-0.22
India,IND,"Business, Trade, Personal, and Public Services",2718732.231,"Longer containment, larger demand shock",-0.16," 4,273.83 ",394,-0.30,-0.33
India,IND,Hotel and restaurants and Other Personal Services,2718732.231,"Longer containment, larger demand shock",-0.10," 2,647.20 ",604,-2.36,-2.19
India,IND,"Light/Heavy Manufacturing, Utilities, and Construction",2718732.231,"Longer containment, larger demand shock",-0.11," 3,082.76 ",575,-0.52,-0.43
India,IND,Transport services,2718732.231,"Longer containment, larger demand shock",-0.08," 2,071.65 ",212,-1.35,-0.91
India,IND,_All,2718732.231,"Longer containment, larger demand shock",-0.50," 13,615.25 ",2383,-0.50,-0.42
Ireland,IRE,"Agriculture, Mining and Quarrying",382487.4905,"Longer containment, larger demand shock",-0.09, 343.30 ,8,-5.88,-5.86
Ireland,IRE,"Business, Trade, Personal, and Public Services",382487.4905,"Longer containment, larger demand shock",-2.33," 8,908.24 ",65,-4.43,-4.62
Ireland,IRE,Hotel and restaurants and Other Personal Services,382487.4905,"Longer containment, larger demand shock",-0.34," 1,286.02 ",21,-8.64,-8.52
Ireland,IRE,"Light/Heavy Manufacturing, Utilities, and Construction",382487.4905,"Longer containment, larger demand shock",-1.86," 7,103.15 ",48,-4.82,-6.07
Ireland,IRE,Transport services,382487.4905,"Longer containment, larger demand shock",-0.83," 3,162.54 ",24,-23.50,-19.71
Ireland,IRE,_All,382487.4905,"Longer containment, larger demand shock",-5.44," 20,803.24 ",166,-5.44,-6.15
Italy,ITA,"Agriculture, Mining and Quarrying",2083864.26,"Longer containment, larger demand shock",-0.14," 2,880.87 ",50,-5.20,-5.19
Italy,ITA,"Business, Trade, Personal, and Public Services",2083864.26,"Longer containment, larger demand shock",-3.45," 71,831.28 ",769,-5.74,-5.82
Italy,ITA,Hotel and restaurants and Other Personal Services,2083864.26,"Longer containment, larger demand shock",-0.73," 15,243.34 ",277,-8.42,-8.92
Italy,ITA,"Light/Heavy Manufacturing, Utilities, and Construction",2083864.26,"Longer containment, larger demand shock",-1.23," 25,721.43 ",317,-5.25,-5.20
Italy,ITA,Transport services,2083864.26,"Longer containment, larger demand shock",-0.62," 12,934.89 ",108,-12.26,-11.23
Italy,ITA,_All,2083864.26,"Longer containment, larger demand shock",-6.17," 128,611.81 ",1521,-6.17,-6.25
Japan,JPN,"Agriculture, Mining and Quarrying",4971323.08,"Longer containment, larger demand shock",-0.08," 3,795.71 ",127,-5.15,-5.17
Japan,JPN,"Business, Trade, Personal, and Public Services",4971323.08,"Longer containment, larger demand shock",-3.11," 154,752.97 ",1690,-5.26,-5.38
Japan,JPN,Hotel and restaurants and Other Personal Services,4971323.08,"Longer containment, larger demand shock",-0.46," 22,744.94 ",540,-6.32,-6.30
Japan,JPN,"Light/Heavy Manufacturing, Utilities, and Construction",4971323.08,"Longer containment, larger demand shock",-1.43," 71,020.32 ",696,-5.15,-5.29
Japan,JPN,Transport services,4971323.08,"Longer containment, larger demand shock",-0.37," 18,510.95 ",216,-8.58,-7.64
Japan,JPN,_All,4971323.08,"Longer containment, larger demand shock",-5.45," 270,824.88 ",3268,-5.45,-5.60
Republic of Korea,KOR,"Agriculture, Mining and Quarrying",1619423.701,"Longer containment, larger demand shock",-0.12," 1,938.84 ",80,-5.08,-5.11
Republic of Korea,KOR,"Business, Trade, Personal, and Public Services",1619423.701,"Longer containment, larger demand shock",-2.57," 41,574.95 ",713,-5.35,-5.26
Republic of Korea,KOR,Hotel and restaurants and Other Personal Services,1619423.701,"Longer containment, larger demand shock",-0.57," 9,213.84 ",402,-7.39,-7.31
Republic of Korea,KOR,"Light/Heavy Manufacturing, Utilities, and Construction",1619423.701,"Longer containment, larger demand shock",-1.89," 30,541.54 ",400,-4.89,-5.04
Republic of Korea,KOR,Transport services,1619423.701,"Longer containment, larger demand shock",-0.27," 4,432.59 ",138,-8.08,-10.25
Republic of Korea,KOR,_All,1619423.701,"Longer containment, larger demand shock",-5.42," 87,701.77 ",1732,-5.42,-5.80
Lithuania,LTU,"Agriculture, Mining and Quarrying",53429.06643,"Longer containment, larger demand shock",-0.16, 83.19 ,6,-4.62,-4.22
Lithuania,LTU,"Business, Trade, Personal, and Public Services",53429.06643,"Longer containment, larger demand shock",-2.78," 1,486.66 ",58,-5.37,-5.87
Lithuania,LTU,Hotel and restaurants and Other Personal Services,53429.06643,"Longer containment, larger demand shock",-0.43, 228.17 ,14,-11.22,-11.20
Lithuania,LTU,"Light/Heavy Manufacturing, Utilities, and Construction",53429.06643,"Longer containment, larger demand shock",-1.45, 772.89 ,22,-5.06,-5.03
Lithuania,LTU,Transport services,53429.06643,"Longer containment, larger demand shock",-1.20, 642.83 ,12,-9.71,-10.65
Lithuania,LTU,_All,53429.06643,"Longer containment, larger demand shock",-6.01," 3,213.74 ",111,-6.01,-6.20
Luxembourg,LUX,"Agriculture, Mining and Quarrying",70885.32588,"Longer containment, larger demand shock",-0.02, 11.83 ,0,-3.95,-3.76
Luxembourg,LUX,"Business, Trade, Personal, and Public Services",70885.32588,"Longer containment, larger demand shock",-3.31," 2,345.06 ",14,-4.19,-4.39
Luxembourg,LUX,Hotel and restaurants and Other Personal Services,70885.32588,"Longer containment, larger demand shock",-0.85, 600.95 ,7,-18.00,-13.72
Luxembourg,LUX,"Light/Heavy Manufacturing, Utilities, and Construction",70885.32588,"Longer containment, larger demand shock",-0.62, 437.59 ,5,-5.20,-5.26
Luxembourg,LUX,Transport services,70885.32588,"Longer containment, larger demand shock",-0.91, 644.91 ,10,-22.29,-30.91
Luxembourg,LUX,_All,70885.32588,"Longer containment, larger demand shock",-5.70," 4,040.35 ",36,-5.70,-7.16
Latvia,LVA,"Agriculture, Mining and Quarrying",34409.22918,"Longer containment, larger demand shock",-0.20, 67.78 ,3,-5.21,-4.72
Latvia,LVA,"Business, Trade, Personal, and Public Services",34409.22918,"Longer containment, larger demand shock",-3.74," 1,285.85 ",41,-6.13,-6.13
Latvia,LVA,Hotel and restaurants and Other Personal Services,34409.22918,"Longer containment, larger demand shock",-0.43, 149.63 ,10,-11.46,-9.10
Latvia,LVA,"Light/Heavy Manufacturing, Utilities, and Construction",34409.22918,"Longer containment, larger demand shock",-1.21, 415.24 ,15,-5.31,-5.31
Latvia,LVA,Transport services,34409.22918,"Longer containment, larger demand shock",-2.56, 881.09 ,16,-29.36,-32.73
Latvia,LVA,_All,34409.22918,"Longer containment, larger demand shock",-8.14," 2,799.59 ",86,-8.14,-7.27
Mexico,MEX,"Agriculture, Mining and Quarrying",1220699.48,"Longer containment, larger demand shock",-0.26," 3,228.94 ",182,-3.19,-1.81
Mexico,MEX,"Business, Trade, Personal, and Public Services",1220699.48,"Longer containment, larger demand shock",-0.35," 4,240.44 ",132,-0.66,-0.56
Mexico,MEX,Hotel and restaurants and Other Personal Services,1220699.48,"Longer containment, larger demand shock",-0.01, 67.85 ,7,-0.11,-0.08
Mexico,MEX,"Light/Heavy Manufacturing, Utilities, and Construction",1220699.48,"Longer containment, larger demand shock",-0.58," 7,072.32 ",361,-2.04,-2.16
Mexico,MEX,Transport services,1220699.48,"Longer containment, larger demand shock",-0.04, 504.64 ,22,-0.72,-0.78
Mexico,MEX,_All,1220699.48,"Longer containment, larger demand shock",-1.24," 15,114.20 ",704,-1.24,-1.13
Malta,MLT,"Agriculture, Mining and Quarrying",14553.42293,"Longer containment, larger demand shock",-0.05, 7.07 ,0,-5.01,-5.01
Malta,MLT,"Business, Trade, Personal, and Public Services",14553.42293,"Longer containment, larger demand shock",-3.61, 525.88 ,7,-5.90,-5.58
Malta,MLT,Hotel and restaurants and Other Personal Services,14553.42293,"Longer containment, larger demand shock",-2.45, 356.43 ,7,-14.90,-14.70
Malta,MLT,"Light/Heavy Manufacturing, Utilities, and Construction",14553.42293,"Longer containment, larger demand shock",-0.79, 115.07 ,2,-5.08,-4.99
Malta,MLT,Transport services,14553.42293,"Longer containment, larger demand shock",-0.67, 98.08 ,2,-11.69,-11.12
Malta,MLT,_All,14553.42293,"Longer containment, larger demand shock",-7.58," 1,102.53 ",19,-7.58,-7.62
Netherlands,NET,"Agriculture, Mining and Quarrying",913658.4657,"Longer containment, larger demand shock",-0.16," 1,419.50 ",14,-5.33,-4.91
Netherlands,NET,"Business, Trade, Personal, and Public Services",913658.4657,"Longer containment, larger demand shock",-3.75," 34,287.93 ",372,-5.45,-5.49
Netherlands,NET,Hotel and restaurants and Other Personal Services,913658.4657,"Longer containment, larger demand shock",-0.31," 2,825.07 ",49,-6.38,-6.18
Netherlands,NET,"Light/Heavy Manufacturing, Utilities, and Construction",913658.4657,"Longer containment, larger demand shock",-0.97," 8,907.44 ",81,-5.15,-5.10
Netherlands,NET,Transport services,913658.4657,"Longer containment, larger demand shock",-0.62," 5,643.47 ",56,-14.12,-14.68
Netherlands,NET,_All,913658.4657,"Longer containment, larger demand shock",-5.81," 53,083.42 ",571,-5.81,-5.82
Norway,NOR,"Agriculture, Mining and Quarrying",434166.6154,"Longer containment, larger demand shock",-0.86," 3,723.42 ",44,-5.30,-3.73
Norway,NOR,"Business, Trade, Personal, and Public Services",434166.6154,"Longer containment, larger demand shock",-2.99," 12,996.46 ",37,-5.62,-5.48
Norway,NOR,Hotel and restaurants and Other Personal Services,434166.6154,"Longer containment, larger demand shock",-0.28," 1,202.18 ",4,-6.12,-6.02
Norway,NOR,"Light/Heavy Manufacturing, Utilities, and Construction",434166.6154,"Longer containment, larger demand shock",-0.95," 4,116.40 ",17,-5.27,-5.19
Norway,NOR,Transport services,434166.6154,"Longer containment, larger demand shock",-0.55," 2,377.44 ",7,-6.83,-6.74
Norway,NOR,_All,434166.6154,"Longer containment, larger demand shock",-5.62," 24,415.91 ",109,-5.62,-4.64
Poland,POL,"Agriculture, Mining and Quarrying",585663.8148,"Longer containment, larger demand shock",-0.34," 1,988.44 ",130,-6.98,-5.43
Poland,POL,"Business, Trade, Personal, and Public Services",585663.8148,"Longer containment, larger demand shock",-3.69," 21,628.96 ",631,-6.81,-6.52
Poland,POL,Hotel and restaurants and Other Personal Services,585663.8148,"Longer containment, larger demand shock",-0.74," 4,314.71 ",264,-19.38,-19.32
Poland,POL,"Light/Heavy Manufacturing, Utilities, and Construction",585663.8148,"Longer containment, larger demand shock",-2.02," 11,851.11 ",335,-6.28,-5.86
Poland,POL,Transport services,585663.8148,"Longer containment, larger demand shock",-2.01," 11,797.00 ",430,-41.54,-40.79
Poland,POL,_All,585663.8148,"Longer containment, larger demand shock",-8.81," 51,580.21 ",1790,-8.81,-8.86
Portugal,POR,"Agriculture, Mining and Quarrying",240674.5245,"Longer containment, larger demand shock",-0.14, 345.29 ,31,-5.61,-5.42
Portugal,POR,"Business, Trade, Personal, and Public Services",240674.5245,"Longer containment, larger demand shock",-3.45," 8,307.36 ",174,-5.62,-5.79
Portugal,POR,Hotel and restaurants and Other Personal Services,240674.5245,"Longer containment, larger demand shock",-1.13," 2,722.63 ",68,-11.61,-10.50
Portugal,POR,"Light/Heavy Manufacturing, Utilities, and Construction",240674.5245,"Longer containment, larger demand shock",-1.19," 2,875.42 ",70,-5.55,-5.34
Portugal,POR,Transport services,240674.5245,"Longer containment, larger demand shock",-1.23," 2,961.03 ",38,-26.05,-21.22
Portugal,POR,_All,240674.5245,"Longer containment, larger demand shock",-7.15," 17,211.74 ",381,-7.15,-6.67
Romania,ROM,"Agriculture, Mining and Quarrying",239552.5167,"Longer containment, larger demand shock",-0.26, 634.67 ,138,-4.58,-4.38
Romania,ROM,"Business, Trade, Personal, and Public Services",239552.5167,"Longer containment, larger demand shock",-2.33," 5,570.17 ",287,-5.02,-4.86
Romania,ROM,Hotel and restaurants and Other Personal Services,239552.5167,"Longer containment, larger demand shock",-0.46," 1,093.90 ",48,-6.91,-7.32
Romania,ROM,"Light/Heavy Manufacturing, Utilities, and Construction",239552.5167,"Longer containment, larger demand shock",-1.69," 4,042.21 ",172,-5.14,-5.12
Romania,ROM,Transport services,239552.5167,"Longer containment, larger demand shock",-0.69," 1,652.86 ",81,-8.15,-8.10
Romania,ROM,_All,239552.5167,"Longer containment, larger demand shock",-5.42," 12,993.81 ",726,-5.42,-5.16
Russia,RUS,"Agriculture, Mining and Quarrying",1657554.647,"Longer containment, larger demand shock",-0.60," 9,967.45 ",204,-3.66,-0.86
Russia,RUS,"Business, Trade, Personal, and Public Services",1657554.647,"Longer containment, larger demand shock",-0.46," 7,705.67 ",357,-0.92,-0.72
Russia,RUS,Hotel and restaurants and Other Personal Services,1657554.647,"Longer containment, larger demand shock",-0.03, 555.48 ,81,-1.12,-1.00
Russia,RUS,"Light/Heavy Manufacturing, Utilities, and Construction",1657554.647,"Longer containment, larger demand shock",-0.38," 6,265.59 ",239,-1.64,-1.02
Russia,RUS,Transport services,1657554.647,"Longer containment, larger demand shock",-0.36," 6,047.20 ",313,-5.23,-5.62
Russia,RUS,_All,1657554.647,"Longer containment, larger demand shock",-1.84," 30,541.40 ",1195,-1.84,-1.08
Slovak Republic,SVK,"Agriculture, Mining and Quarrying",105904.6322,"Longer containment, larger demand shock",-0.18, 187.03 ,4,-4.99,-4.97
Slovak Republic,SVK,"Business, Trade, Personal, and Public Services",105904.6322,"Longer containment, larger demand shock",-2.48," 2,625.10 ",69,-5.07,-5.14
Slovak Republic,SVK,Hotel and restaurants and Other Personal Services,105904.6322,"Longer containment, larger demand shock",-0.65, 691.53 ,21,-11.21,-10.10
Slovak Republic,SVK,"Light/Heavy Manufacturing, Utilities, and Construction",105904.6322,"Longer containment, larger demand shock",-1.79," 1,892.85 ",37,-5.12,-5.01
Slovak Republic,SVK,Transport services,105904.6322,"Longer containment, larger demand shock",-0.87, 916.24 ,20,-12.66,-12.99
Slovak Republic,SVK,_All,105904.6322,"Longer containment, larger demand shock",-5.96," 6,312.75 ",152,-5.96,-5.98
Slovenia,SVN,"Agriculture, Mining and Quarrying",54007.97211,"Longer containment, larger demand shock",-0.12, 66.98 ,5,-4.85,-4.68
Slovenia,SVN,"Business, Trade, Personal, and Public Services",54007.97211,"Longer containment, larger demand shock",-3.02," 1,633.73 ",32,-5.72,-5.80
